smiles,ChEMBL_ID,activity_IC50,binding_score
Nc1ccc(cn1)S(=O)(=O)c1ccc(CNC(=O)N2Cc3ccncc3C2)cc1,CHEMBL2419516,10000.0,-8.88212
Nc1cc(CN2CCC(CC2)C(=O)N2CCC(CC2)n2c3ccc(F)cc3n(CC3CC3)c2=O)ccn1,CHEMBL2437426,30000.0,-10.82369
COCCCc1ccc2oc(cc2c1)-c1ccc(OC)c(OC)c1,CHEMBL4066961,50000.0,-8.70889
O=C1N(CCn2ncc3cccc1c23)[C@@H]1CN2CCC1CC2,CHEMBL3261481,50000.0,-10.66689
CN([C@H]1CCN(C1)C(=O)N1CC[C@H](C1)NCCC(C)(C)c1ccc(Cl)cc1)C(=O)c1ccc(cc1)-c1ccc(cc1)C(F)(F)F,CHEMBL382851,3300.0,-6.93996
Fc1ccc(Sc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1,CHEMBL119385,,-10.18912
COc1ccc(cc1)-c1ccc(s1)C(=O)N(C)[C@H]1CCN(C1)C(=O)N1CC[C@H](C1)NC1CCC(C)(C)CC1,CHEMBL386454,5011.87,-8.01433
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c(O)cccc12,CHEMBL1433,,-10.07562
C[S+]([O-])c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,CHEMBL10,2000.0,-10.8827
CN(C)CCC1=C(Cc2ncccn2)c2ccccc2C1,CHEMBL1090198,10000.0,-9.3757
C[C@@H](C[C@H](O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)NC(=O)Nc1cc(cc(c1)C(C)=O)C(C)=O,CHEMBL258309,16000.0,-11.16327
CCN(CC)CC(=O)Nc1c(C)cccc1C,CHEMBL79,,-7.52936
CN1CCCCC1C(=O)Nc1c(C)cccc1C,CHEMBL1087,,-9.15074
OC(=O)\\C=C\\c1ccc(Cn2ccnc2)cc1OCCc1ccc2ccccc2c1,CHEMBL596515,4400.0,-11.03576
COc1ccc(O[C@@H](CC(C)C)[C@H]2CCNC2)c(C)n1,CHEMBL2386162,10000.0,-8.4736
Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,CHEMBL1540,,-7.82176
OC(=O)c1ccc(cc1C(F)(F)F)-n1cc(C(=O)c2c(Cl)cccc2Cl)c2ccccc12,CHEMBL4463023,,-12.13542
OC(=O)c1cc(Cl)c(c(Cl)c1)-n1cc(C(=O)c2c(Cl)cccc2Cl)c2ccccc12,CHEMBL4543848,,-11.25186
Cl.Cl.CN1CCC[C@@H]1CCN1CCCc2cc(NC(=N)c3cccs3)ccc12,CHEMBL3216112,33300.0,-10.14801
CN1CCCC(CN2c3ccccc3Sc3ccccc23)C1,CHEMBL395110,,-9.6761
