,smiles,ChEMBL_ID,activity_IC50,binding_score
97,FC(F)(F)Oc1ccc(NC(=O)N2CCC(CC2)n2cccc2)cc1,CHEMBL590600,4.041392685158225,-9.23528
99,Cc1ncoc1-c1nnc(SCCCN2CCOC(C2)c2ccc(F)cc2)n1C,CHEMBL3765754,4.477121254719663,-9.04255
100,CC(=NNC(=O)c1cccc(c1)S(=O)(=O)N1CCOCC1)c1cc(Cl)ccc1O,CHEMBL3104250,3.905256048748451,-9.67831
102,OC(=O)[C@H]1CC[C@@H](CC1)c1ccc(cc1)-c1cc(nc(n1)C(F)(F)F)N1CC[C@H]1C(=O)NCCc1ccc(cc1)C#N,CHEMBL3234871,4.3979400086720375,-10.72145
103,COc1cccc(c1)C1=NC(c2c(N1)n(-c1ccc(Cl)cc1)c(=O)[nH]c2=O)(C(F)(F)F)C(F)(F)F,CHEMBL4095693,3.577491799837225,-10.30241
104,Cn1c2NC(=NC(c2c(=O)n(C)c1=O)(C(F)(F)F)C(F)(F)F)c1cccc(c1)[N+]([O-])=O,CHEMBL4079193,2.6720978579357175,-9.70602
105,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3C)c(=O)n(Cc3ccc(nc3C)C(F)(F)F)n2c1=O,CHEMBL3260744,3.6989700043360187,-9.88679
106,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3cnc(C)nc3)c(=O)n(Cc3ccc(nc3C)C(F)(F)F)n2c1=O,CHEMBL3260753,4.6020599913279625,-10.07056
112,CCCc1ccc2c3[nH]c(nc3c(=O)[nH]c2c1)-c1ccccc1Cl,CHEMBL2387595,4.380211241711606,-9.67939
114,CNc1cc(C)cc(n1)N1CCC(CC1)C(=O)NCc1ccccc1C(F)(F)F,CHEMBL2392704,4.041392685158225,-9.34014
115,COc1ccc2CN(C(=O)c2c1)c1nc(cs1)C(=O)Nc1cnccc1N1CCNCC1,CHEMBL2381116,4.477121254719663,-9.4337
116,CNc1nc(C)nc(n1)N1CCC(CC1)C(=O)NCc1cccc(OC(F)(F)F)c1,CHEMBL2392709,4.3979400086720375,-9.54773
121,Cl.CCCCN1C(=O)[C@H](NC(=O)C11CCN(Cc2ccc(Oc3ccccc3)cc2)CC1)[C@H](O)C(C)C,CHEMBL559168,4.477121254719663,-10.56599
122,Cl.CCCCN1C(=O)[C@H](NC(=O)C11CCN(Cc2ccc(Oc3ccc(cc3)C(O)=O)cc2)CC1)[C@@H](O)C1CCCCC1,CHEMBL1668020,4.2552725051033065,-10.3298
123,Brc1ccc(cc1)-n1c(SCc2ccccc2)nnc1-c1ccncc1,CHEMBL406917,3.6334684555795866,-9.13226
124,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,CHEMBL2177819,4.0,-11.10035
127,COc1ccc(cn1)-c1nc(CS(=O)(=O)c2cccc(Cl)c2)nc2ccsc12,CHEMBL3354313,3.720159303405957,-9.03296
128,CN1C(=O)NC(=O)[C@]11Cc2ccc(NC(=O)Cn3c4ccccc4n(-c4ccccn4)c3=O)cc2C1,CHEMBL223156,4.0,-11.50503
130,COc1ccccc1-c1ccc2cnc(Nc3ccc(cc3)N3CCN(C)CC3)nn12,CHEMBL1822515,4.477121254719663,-9.75925
131,C[C@H]1N(CCn2c1nnc2-c1csc(n1)C(F)(F)F)C(=O)c1ccc(cc1)-c1cccs1,CHEMBL3422013,3.6989700043360187,-10.30292
132,CN(C)C(C)(C)c1nc(O)c(O)c(n1)C(=O)NCc1ccc(F)cc1,CHEMBL386515,4.301029995663981,-8.73194
