smiles,ChEMBL_ID,activity_IC50,binding_score
CNc1cc(C)cc(n1)N1CCC(CC1)C(=O)NCc1ccccc1C(F)(F)F,CHEMBL2392704,11000.0,-9.34014
COc1ccc2CN(C(=O)c2c1)c1nc(cs1)C(=O)Nc1cnccc1N1CCNCC1,CHEMBL2381116,30000.0,-9.4337
CNc1nc(C)nc(n1)N1CCC(CC1)C(=O)NCc1cccc(OC(F)(F)F)c1,CHEMBL2392709,25000.0,-9.54773
C\\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,CHEMBL540445,,-8.44841
CN(C)C=O,CHEMBL268291,,-2.73476
CC(C)(S)[C@@H](N)C(O)=O,CHEMBL1430,,-4.34361
CN(C)CCOC(c1ccccc1)c1ccccc1C,CHEMBL900,,-7.77456
Cl.CCCCN1C(=O)[C@H](NC(=O)C11CCN(Cc2ccc(Oc3ccccc3)cc2)CC1)[C@H](O)C(C)C,CHEMBL559168,30000.0,-10.56599
Cl.CCCCN1C(=O)[C@H](NC(=O)C11CCN(Cc2ccc(Oc3ccc(cc3)C(O)=O)cc2)CC1)[C@@H](O)C1CCCCC1,CHEMBL1668020,18000.0,-10.3298
Brc1ccc(cc1)-n1c(SCc2ccccc2)nnc1-c1ccncc1,CHEMBL406917,4300.0,-9.13226
Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,CHEMBL2177819,10000.0,-11.10035
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1,CHEMBL189171,,-8.44357
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,CHEMBL31184,,-10.63937
COc1ccc(cn1)-c1nc(CS(=O)(=O)c2cccc(Cl)c2)nc2ccsc12,CHEMBL3354313,5250.0,-9.03296
CN1C(=O)NC(=O)[C@]11Cc2ccc(NC(=O)Cn3c4ccccc4n(-c4ccccn4)c3=O)cc2C1,CHEMBL223156,10000.0,-11.50503
O=C\\C=C\\c1ccccc1,CHEMBL293492,,-6.35998
COc1ccccc1-c1ccc2cnc(Nc3ccc(cc3)N3CCN(C)CC3)nn12,CHEMBL1822515,30000.0,-9.75925
C[C@H]1N(CCn2c1nnc2-c1csc(n1)C(F)(F)F)C(=O)c1ccc(cc1)-c1cccs1,CHEMBL3422013,5000.0,-10.30292
CN(C)C(C)(C)c1nc(O)c(O)c(n1)C(=O)NCc1ccc(F)cc1,CHEMBL386515,20000.0,-8.73194
Fc1ccc(cc1)C(=O)N1CCN(CC1)c1nccc(n1)C(C#N)c1ccccn1,CHEMBL3421982,5000.0,-10.53219
Cc1cccc(n1)-c1nnc2CN(CCn12)C(=O)c1ccc(F)cc1,CHEMBL3422000,100000.0,-9.70111
Cc1nc(CNC(=O)c2ccc(cc2)-c2cc(cc(F)c2C)C(=O)NC2CC2)cs1,CHEMBL1784169,100000.0,-9.48751
Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc(c2)N2CCNC2=O)CC1,CHEMBL1631540,60000.0,-9.69051
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,CHEMBL1428,1000.0,-7.6424
C[C@H]([C@@H](c1ccc(Nc2nc3ccccc3s2)cc1)n1ccnc1)N(C)C,CHEMBL517438,11000.0,-9.00626
CNC[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc2C1,CHEMBL1642906,25000.0,-8.76843
CCOc1ccc(NC(=O)c2ccc(cc2)-n2cnnn2)cc1,CHEMBL271326,30000.0,-8.08371
Cc1ccc(cc1-c1ccc(cc1)C(=O)NCC1CC1)C(=O)NC1CC1,CHEMBL478649,3981.07,-9.07409
Cc1cc(C)nc(n1)N1C[C@@H]2CN(C[C@@H]2C1)C(=O)c1c(F)cccc1-n1nccn1,CHEMBL3586436,10000.0,-10.18356
Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1C(F)(F)F,CHEMBL14460,23000.0,-10.58629
CCN(CC(O)(CNC(=O)c1cnn(c1N)-c1ccc(F)cc1)C(F)(F)F)C(=O)c1ncccc1Cl,CHEMBL520276,14000.0,-9.41193
CCCCCCCCc1ccc(O)cc1,CHEMBL195437,,-6.76601
Cl.Cl.NCC#Cc1cncc2ccccc12,CHEMBL4160946,,-6.92081
Cl.Cl.Cc1ncccc1C#CCN,CHEMBL4162411,,-5.91355
COc1ncccc1CNc1ccc(Cc2c[nH]c3ncccc23)c(F)n1,CHEMBL3673962,10000.0,-9.08905
CC(C)[C@@](O)(c1c[nH]cn1)c1ccc2c3CN(C)C(=O)c3ccc2c1,CHEMBL1682904,3000.0,-9.23026
Fc1ccccc1S(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)C#N)c1F,CHEMBL3941703,10000.0,-10.19908
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,CHEMBL80,,-9.15869
Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc-3c2OCc2nccn-32)CC1,CHEMBL1242904,4000.0,-10.75162
Cc1cc(cc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O)-n1ccnc1,CHEMBL231306,40.0,-9.8582
Cc1cc(cc2[nH]c(nc12)-c1c(N[C@H](CO)Cc2ccccc2)cc[nH]c1=O)-n1ccnc1,CHEMBL230204,40.0,-10.53535
CN[C@@H](C)C(=O)Nc1ccc(-c2c(nc3cc(C)ccn23)-c2cccnc2OC)c(n1)C#Cc1ccc2c(C)nccc2c1,CHEMBL3895473,38000.0,-10.56752
CCCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(C)cc1,CHEMBL121040,20000.0,-9.12136
ClCCNC(=O)N(CCCl)N=O,CHEMBL513,,-4.87943
CC(C)NC[C@@H](O)COc1cccc2ccccc12,CHEMBL275742,,-7.57986
Cc1nc(C(O)C(F)(F)F)n(n1)-c1cc(nc(C)n1)N1CC(C1)c1nc2ccccc2n1C,CHEMBL3915808,50000.0,-11.00271
Cc1oc(nc1CCOc1cccc(CC2C(N(C2=O)c2ccc(Cl)cc2)C(O)=O)c1)-c1ccccc1,CHEMBL255388,,-10.95476
Cc1oc(nc1CCOc1cccc(CC2C(N(C2=O)c2ccc(F)cc2)C(O)=O)c1)-c1ccccc1,CHEMBL271739,,-11.77395
C[C@H](N1CCC(CC2CC2)(CC(C)(C)O)OC1=O)c1ccc(cc1)-c1ccn(C2CC2)c(=O)c1,CHEMBL3664691,28500.0,-9.66106
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,CHEMBL3983937,50000.0,-9.50175
CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(cc1)N1CCC(CC1)c1ccc(F)cc1,CHEMBL3298906,40000.0,-11.05619
CC(C)OC(=O)N1CCC(CCCCCOc2ccc(cc2)C(=O)N(C)C)CC1,CHEMBL4215560,10000.0,-8.0672
O=c1cc(OCc2ccccc2)ccn1-c1ccc2n(CC3=NCCN3)ncc2c1,CHEMBL1289053,10000.0,-10.18629
CN(C)C(=O)c1ccc(OCCCCC[C@H]2CC[C@@]3(COC(C)(C)C3)CC2)cc1,CHEMBL4205617,10000.0,-8.59024
COc1cccc(CNC(=O)c2ccc(cc2)-c2ccncc2)c1,CHEMBL2006299,120.0,-8.94049
CNC(=O)c1c(oc2cc(N(c3ccc(B(O)O)c(Cl)c3)S(C)(=O)=O)c(cc12)C1CC1)-c1ccc(F)cc1,CHEMBL4528447,2600.0,-10.39739
C[C@H](N1CC[C@@](CC(C)(C)O)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccn(C)c(=O)c1,CHEMBL3664717,50000.0,-10.33343
CC(c1nc(c[nH]1)-n1ccc(NC(=O)c2cscn2)cc1=O)c1cccc(c1)C(F)(F)F,CHEMBL3810245,31.0,-9.80032
COC(=O)N1CC[C@@H](C1)N(Cc1ccccc1F)c1ccc(C#N)c(Cl)c1,CHEMBL592289,1400.0,-8.29401
C[C@H]1Cc2c(CN1C(=O)c1cccc(c1Cl)C(F)(F)F)nnn2-c1ccsc1,CHEMBL4072525,3700.0,-9.66197
CN1CCC(CC1)S(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2cccc(Cl)c2Cl)c1O,CHEMBL3819521,10000.0,-9.77612
CNC(=O)c1c(oc2cc(N(Cc3ccc(B(O)O)c(F)c3)S(C)(=O)=O)c(cc12)C1CC1)-c1ccc(F)cc1,CHEMBL3121193,4900.0,-11.31858
C[C@@H]1COCCN1c1cc(nc(n1)-c1cc[nH]c-2nccc1-2)C1(CC1)[S@](C)(=N)=O,CHEMBL4285417,10000.0,-9.02461
